Node,Community,Proximity to SOD1,Relative subgraph centrality,Subgraph centrality,Participation coefficient
4932.YBL045C,6,2,2.7191499213888846e-05,1.0019172132433032,0.3047839506172839
4932.YDR007W,4,3,7.028663754324901e-07,1.000748420854806,0.30968858131487886
4932.YPR117W,20,5,6.860774968975303e-13,1.0000480448336664,0.0
4932.YFR039C,17,5,3.4223795672416735e-13,1.0001264424894767,0.0
4932.YJL130C,4,2,2.670390546489934e-05,1.001031876394122,0.40237966468361275
4932.YMR176W,3,3,3.3541217401216817e-07,1.0004862098046632,0.43083900226757366
4932.YPL078C,6,2,2.023931325644614e-05,1.0016485091777911,0.20458553791887124
4932.YLR395C,6,3,2.283041628503926e-06,1.0011714103910656,0.0
4932.YLR256W,20,5,1.1486080094960996e-12,1.0000891868265425,0.375
4932.YNR001C,4,2,5.7480505227329033e-05,1.0015608409308274,0.4651404786680541
4932.YBR255C-A,6,3,5.477990983916714e-08,1.0000943418868153,0.0
4932.Q0060,6,3,9.292449090665417e-07,1.0002645531403327,0.0
4932.YGR088W,7,1,0.008088318876208998,1.0024968178929616,0.5318930041152263
4932.YJR121W,6,2,5.516760774658719e-05,1.0027537057304765,0.51440329218107
4932.YMR257C,6,3,3.0761611106506137e-07,1.0002601598827745,0.1527777777777778
4932.YGL187C,6,3,3.857066598465363e-06,1.0017729761422165,0.11616161616161613
4932.YGR171C,13,3,2.5906090598431554e-07,1.0003338104101234,0.23111111111111116
4932.YEL047C,4,2,2.0192438058916058e-05,1.0001527147000826,0.59375
4932.YLR382C,13,3,1.4299756362102243e-07,1.000536951780541,0.4504132231404959
4932.YML030W,6,3,1.0050168545200529e-06,1.000342052256649,0.24
4932.YDR350C,6,3,5.213057311412132e-08,1.000161818436746,0.0
4932.YJR144W,10,3,4.37133378556893e-07,1.0002206539495633,0.6111111111111112
4932.YIL111W,6,3,2.2320967012039172e-06,1.000886044946639,0.060546875
4932.YKL087C,6,3,6.004919207208605e-07,1.000152641306236,0.0
4932.YJR066W,15,2,2.4376428929952698e-05,1.0012887185044752,0.5809948979591837
4932.YOL128C,3,2,1.888125756969051e-05,1.0000422753274476,0.5
4932.YGL205W,2,2,8.283905699950335e-05,1.0014074197965979,0.5546967895362663
4932.YPR024W,6,3,1.1026230517607958e-06,1.000519431994312,0.3705103969754253
4932.YHR051W,6,2,6.87674843174467e-05,1.0019543421254824,0.19804444444444447
4932.YDR019C,4,3,1.6678866677031362e-06,1.000718702036642,0.06887755102040816
4932.YOR158W,13,2,6.63066546707415e-05,1.0019353352471785,0.10751834953382267
4932.YJR113C,5,2,6.983837296947498e-05,1.0073687196733911,0.4903401360544217
4932.YDR197W,6,3,1.4920797380187784e-07,1.0002525259739796,0.0
4932.YMR282C,6,3,6.36970294318022e-08,1.0000492374304288,0.0
4932.YJL131C,13,3,1.255535239655034e-07,1.0000383910096347,0.0
4932.YHR116W,6,2,6.846219492664498e-05,1.0005103737351841,0.09070294784580502
4932.YHR168W,13,3,3.9500712392865657e-07,1.000315378867342,0.4177777777777778
4932.YMR038C,6,1,0.007623185684987066,1.0003357098568795,0.4591836734693877
4932.YFR032C-A,5,2,3.11593243511616e-05,1.0061710512740871,0.3106017574927328
4932.YBR039W,6,2,2.3521889271043827e-05,1.0016519635214993,0.41924918115394305
4932.YBL057C,8,5,3.3505056368232644e-13,1.0000385877587454,0.0
4932.YKL216W,4,2,2.592019896267565e-05,1.0004488208067541,0.5041551246537397
4932.YJL062W-A,6,3,7.053442782887533e-07,1.0002060140376752,0.37037037037037035
4932.YJR009C,7,3,2.622540279932856e-06,1.0005930964023573,0.6816
4932.YNL055C,6,3,2.4618217927076572e-06,1.0008628168445288,0.4497041420118343
4932.YLR241W,20,6,7.963871532720712e-16,1.0000578710317372,0.0
4932.YMR072W,10,2,2.2203004665697777e-05,1.0001939506385644,0.8200000000000001
4932.YNR018W,6,3,1.5232559109028395e-06,1.0005789665253808,0.0
4932.YIR024C,6,3,2.912855125155678e-07,1.0001373896031813,0.24489795918367352
4932.YGR027C,5,3,4.8479839456986706e-06,1.0058597133367098,0.18888160179005442
4932.YOL122C,1,2,8.588871576231086e-05,1.0002628156456204,0.37869822485207105
4932.YGL107C,6,3,4.6651344994832165e-07,1.0001335332094883,0.4897959183673469
4932.YIR021W,6,3,3.3006237158965564e-07,1.0001478161437238,0.24489795918367352
4932.YPL013C,13,2,6.887265930987188e-05,1.0039480968785826,0.5052857708180225
4932.YGR231C,6,3,1.0964242283104846e-06,1.0004542238483014,0.54
4932.Q0120,6,2,2.3574213795522357e-05,1.001283063431263,0.1814686658977317
4932.YER102W,5,2,2.8675569752081945e-05,1.0062139895776356,0.12101135749053538
4932.YLR142W,4,2,1.9151880906277197e-05,1.0004212330890923,0.345
4932.YPL234C,6,3,7.375341816925896e-07,1.0008196258568067,0.0
4932.YER141W,6,2,7.388973730863477e-05,1.0006770760442152,0.12070759625390215
4932.YOR128C,4,3,7.117753372547133e-07,1.000810056742975,0.2595918367346939
4932.YOR142W,4,2,5.561949847772901e-05,1.0014445428775864,0.565688775510204
4932.YFR033C,6,2,5.040612003892408e-05,1.001670971953287,0.2091571279916753
4932.YGR061C,4,3,8.814870185408323e-07,1.0006805310170441,0.06887755102040816
4932.YAL015C,10,3,2.1043218700108474e-07,1.000416828836728,0.2825484764542936
4932.Q0050,6,3,1.7397672617161346e-06,1.0006852876780943,0.0
4932.YLL009C,6,1,0.007599481908385289,1.0009754568621487,0.4891518737672583
4932.YOR350C,6,4,5.395262438309852e-10,1.0000358526661774,0.0
4932.YBR179C,6,3,4.590387037687769e-07,1.0006014070658515,0.7551020408163265
4932.YDR079W,20,3,2.1647732197321943e-07,1.0001070516524257,0.31999999999999995
4932.YLL018C-A,6,2,0.00010440175392164588,1.0009636239922006,0.04996712689020377
4932.Q0075,6,3,1.8452281923253804e-07,1.0002912320435502,0.0
4932.YCR005C,4,2,5.5505686102195035e-05,1.0012048126088597,0.2977430555555556
4932.YML054C,4,2,7.763197848072089e-05,1.001113222452209,0.6247170665459484
4932.YNR045W,6,3,5.011066064238034e-08,1.0001470082979707,0.0
4932.YOR266W,6,3,2.641575825734917e-07,1.0000969150285772,0.0
4932.YKR016W,6,2,2.2271116801130973e-05,1.00050996011777,0.16257088846880907
4932.YNL213C,20,5,3.966995135162854e-12,1.0000953799184809,0.0
4932.YMR256C,6,3,1.8797373688337303e-06,1.0008475942186477,0.0
4932.YNR037C,13,2,6.914123222402254e-05,1.005277795512995,0.5058571930160554
4932.YIL065C,2,3,9.137198870181977e-07,1.0007444860217423,0.787109375
4932.YOR354C,6,3,1.9147446722670965e-07,1.0000519692304166,0.4444444444444444
4932.YJR051W,6,3,5.322855429472457e-07,1.0001549704931114,0.75
4932.YBL099W,6,2,5.672329332408657e-05,1.0025821098720777,0.5872741253364091
4932.YKL016C,6,2,2.3852369947463493e-05,1.0016309116386455,0.394901144640999
4932.YDL174C,4,3,1.3842170831992074e-06,1.0006981979571627,0.4432882414151925
4932.YMR118C,6,2,2.568804710467567e-05,1.000474708060699,0.4444444444444444
4932.YGR240C,7,2,6.278385108804169e-05,1.000981881315913,0.4271267102914932
4932.YLR049C,15,7,2.831665023989016e-16,1.000038595919394,0.0
4932.YBR295W,8,2,4.6310941596531575e-05,1.0001036964191412,0.56
4932.YIL155C,2,2,2.2350057263588647e-05,1.0009105356309904,0.7031528851873885
4932.YJL045W,6,2,5.162127943421433e-05,1.000953391923672,0.47337278106508873
4932.YBR251W,13,2,7.018635618931691e-05,1.0055721017807246,0.5556232686980609
4932.YJL209W,6,3,2.8650451879843296e-07,1.0002009018788072,0.31404958677685946
4932.YKL053C-A,6,2,5.54464030512327e-05,1.0005652108372272,0.48958333333333337
4932.YMR302C,6,4,2.044566768059225e-09,1.000028180032323,0.0
4932.YGR174C,6,3,8.555471810861039e-07,1.0003534494245063,0.0
4932.YHR026W,6,3,7.337432762886241e-07,1.0007775571581439,0.0
4932.YPL188W,4,3,8.955307256481459e-07,1.000175405969184,0.24489795918367352
4932.YGR192C,7,2,2.4747125131023312e-05,1.0008477603865575,0.7229916897506925
4932.YMR064W,6,3,5.7671569845662435e-08,1.0000623231578676,0.0
4932.YHR053C,4,1,0.0068046831819559995,1.000148831639366,0.44897959183673475
